粘性,钝度,二维,第1壁面切向角,第2壁面切向角,第3壁面切向角,第4壁面切向角,来流马赫数,喉道高度,喉道马赫数,流量系数,总压恢复系数,比阻,内收缩比,总收缩比,捕获流量
0,0,1,6.647,9.635,15,7.845,3,150.374,1.748,1,0.967,116.7,1.598,3.007,17
0,0,1,6.647,9.635,15,6,3,150.374,1.747,1,0.965,116.9,1.598,3.007,17
0,0,1,6.647,9.635,15,4,3,150.374,1.741,1,0.956,117.6,1.598,3.007,17
0,0,1,6.647,9.635,15,2,3,150.374,1.731,1,0.942,118.6,1.598,3.007,17
0,0,1,6.647,9.635,15,0,3,150.374,1.718,1,0.923,120.1,1.598,3.007,17
0,0,1,6.647,10.635,15,10,3,150.374,1.746,1,0.964,117.1,1.598,3.007,17
0,0,1,6.647,10.635,15,7.845,3,150.374,1.749,1,0.968,116.7,1.598,3.007,17
0,0,1,6.647,10.635,15,6,3,150.374,1.747,1,0.966,116.8,1.598,3.007,17
0,0,1,6.647,10.635,15,4,3,150.374,1.742,1,0.957,117.4,1.598,3.007,17
0,0,1,6.647,10.635,15,2,3,150.374,1.732,1,0.943,118.6,1.598,3.007,17
0,0,1,6.647,10.635,15,0,3,150.374,1.718,1,0.924,120,1.598,3.007,17
0,0,1,6.647,11.635,15,10,3,150.374,1.745,1,0.964,117.1,1.598,3.007,17
0,0,1,6.647,11.635,15,7.845,3,150.374,1.748,1,0.968,116.7,1.598,3.007,17
0,0,1,6.647,11.635,15,6,3,150.374,1.747,1,0.965,116.8,1.598,3.007,17
0,0,1,6.647,11.635,15,4,3,150.374,1.741,1,0.956,117.5,1.598,3.007,17
0,0,1,6.647,11.635,15,2,3,150.374,1.732,1,0.942,118.6,1.598,3.007,17
0,0,1,2.845,8.126,15.9,10.9,4,198.907,2.245,1,0.92,134.9,1.61,3.978,16.8
0,0,1,2.845,8.126,15.9,8.406,4,198.907,2.251,1,0.929,134.8,1.61,3.978,16.8
0,0,1,2.845,8.126,15.9,6,4,198.907,2.247,1,0.921,136.3,1.61,3.978,16.8
0,0,1,2.845,8.126,15.9,4,4,198.907,2.236,1,0.904,138.7,1.61,3.978,16.8
0,0,1,2.845,8.126,15.9,2,4,198.907,2.219,1,0.878,141.8,1.61,3.978,16.8
0,0,1,2.845,8.126,15.9,0,4,198.907,2.197,1,0.846,145.5,1.61,3.978,16.8
0,0,1,2.845,9.126,15.9,10.9,4,198.907,2.246,1,0.922,134.7,1.609,3.978,16.8
0,0,1,2.845,9.126,15.9,8.406,4,198.907,2.252,1,0.931,134.6,1.609,3.978,16.8
0,0,1,2.845,9.126,15.9,6,4,198.907,2.248,1,0.923,136.2,1.609,3.978,16.8
0,0,1,2.845,9.126,15.9,4,4,198.907,2.237,1,0.905,138.5,1.609,3.978,16.8
