粘性,钝度,二维,外-激波后第0激波后马赫数,外-激波后第0激波后方向角,外-激波后第0激波后压缩角,外-激波后第0激波后流道高H,外-激波后第0激波后收缩比,外-激波后第0激波后sigma,外-激波后第1激波后马赫数,外-激波后第1激波后方向角,外-激波后第1激波后压缩角,外-激波后第1激波后流道高H,外-激波后第1激波后收缩比,外-激波后第1激波后sigma,外-激波后第2激波后马赫数,外-激波后第2激波后方向角,外-激波后第2激波后压缩角,外-激波后第2激波后流道高H,外-激波后第2激波后收缩比,外-激波后第2激波后sigma,外-激波后第3激波后马赫数,外-激波后第3激波后方向角,外-激波后第3激波后压缩角,外-激波后第3激波后流道高H,外-激波后第3激波后收缩比,外-激波后第3激波后sigma,内-激波后第0激波后马赫数,内-激波后第0激波后方向角,内-激波后第0激波后压缩角,内-激波后第0激波后流道高H,内-激波后第0激波后收缩比,内-激波后第0激波后sigma,内-激波后第1激波后马赫数,内-激波后第1激波后方向角,内-激波后第1激波后压缩角,内-激波后第1激波后流道高H,内-激波后第1激波后收缩比,内-激波后第1激波后sigma,内-激波后第2激波后马赫数,内-激波后第2激波后方向角,内-激波后第2激波后压缩角,内-激波后第2激波后流道高H,内-激波后第2激波后收缩比,内-激波后第2激波后sigma,压缩位置外压缩段风轴Cr,压缩位置外压缩段体轴Cr,压缩位置外压缩段长度,压缩位置外压缩段高度,压缩位置外压缩段阻力,压缩位置外压缩段比阻,压缩位置内压缩段风轴Cr,压缩位置内压缩段体轴Cr,压缩位置内压缩段长度,压缩位置内压缩段高度,压缩位置内压缩段阻力,压缩位置内压缩段比阻,压缩位置总_压_缩风轴Cr,压缩位置总_压_缩体轴Cr,压缩位置总_压_缩长度,压缩位置总_压_缩高度,压缩位置总_压_缩阻力,压缩位置总_压_缩比阻2,每米宽度流量,压缩位置总_压_缩比阻
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.994,7.878,4.178,134.582,2.072,0.969,4.22,15.6,7.722,75.447,3.696,0.905,4.22,15.6,15.6,119.064,1.0,0.905,3.172,2.0,13.6,55.419,2.148,0.745,3.063,0.0,2.0,50.0,2.381,0.744,3.696,3.696,1295.87,278.82,2703.0,174.4,1.509,1.509,279.04,4.29,-211.0,-13.6,5.576,5.576,1574.91,283.11,2914.0,188.0,15.5,160.8
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.994,7.878,4.178,134.582,2.072,0.969,4.22,15.6,7.722,75.447,3.696,0.905,4.22,15.6,15.6,115.208,1.0,0.905,3.017,0.0,15.6,50.0,2.304,0.689,3.017,0.0,0.0,50.0,2.304,0.689,3.696,3.696,1295.87,278.82,2650.0,171.0,1.509,1.509,249.33,0.0,0.0,0.0,5.576,5.576,1545.2,278.82,2650.0,171.0,15.5,171.0
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.879,8.878,5.178,124.333,2.243,0.957,4.228,15.6,6.722,75.146,3.71,0.915,4.228,15.6,15.6,125.309,1.0,0.915,3.836,10.6,5.0,89.586,1.399,0.903,3.123,0.0,10.6,50.0,2.506,0.832,3.71,3.71,1295.87,278.82,2997.0,193.4,1.503,1.503,423.21,38.06,-883.0,-57.0,5.576,5.576,1719.08,316.88,3880.0,250.3,15.5,136.4
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.879,8.878,5.178,124.333,2.243,0.957,4.228,15.6,6.722,75.146,3.71,0.915,4.228,15.6,15.6,126.21,1.0,0.915,3.66,8.288,7.312,78.767,1.602,0.88,3.136,0.0,8.288,50.0,2.524,0.848,3.71,3.71,1295.87,278.82,2902.0,187.2,1.503,1.503,385.21,26.52,-765.0,-49.3,5.576,5.576,1681.08,305.33,3666.0,236.5,15.5,137.89999999999998
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.879,8.878,5.178,124.333,2.243,0.957,4.228,15.6,6.722,75.146,3.71,0.915,4.228,15.6,15.6,124.991,1.0,0.915,3.485,6.0,9.6,69.17,1.807,0.844,3.127,0.0,6.0,50.0,2.5,0.833,3.71,3.71,1295.87,278.82,2818.0,181.8,1.503,1.503,345.9,16.8,-594.0,-38.3,5.576,5.576,1641.77,295.62,3413.0,220.2,15.5,143.5
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.879,8.878,5.178,124.333,2.243,0.957,4.228,15.6,6.722,75.146,3.71,0.915,4.228,15.6,15.6,122.562,1.0,0.915,3.332,4.0,11.6,61.807,1.983,0.802,3.104,0.0,4.0,50.0,2.451,0.799,3.71,3.71,1295.87,278.82,2753.0,177.6,1.503,1.503,311.98,9.86,-413.0,-26.7,5.576,5.576,1607.85,288.68,3166.0,204.3,15.5,150.9
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.879,8.878,5.178,124.333,2.243,0.957,4.228,15.6,6.722,75.146,3.71,0.915,4.228,15.6,15.6,119.237,1.0,0.915,3.177,2.0,13.6,55.429,2.151,0.752,3.068,0.0,2.0,50.0,2.385,0.752,3.71,3.71,1295.87,278.82,2695.0,173.9,1.503,1.503,279.73,4.31,-212.0,-13.7,5.576,5.576,1575.6,283.12,2907.0,187.5,15.5,160.20000000000002
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.879,8.878,5.178,124.333,2.243,0.957,4.228,15.6,6.722,75.146,3.71,0.915,4.228,15.6,15.6,115.361,1.0,0.915,3.022,0.0,15.6,50.0,2.307,0.696,3.022,0.0,0.0,50.0,2.307,0.696,3.71,3.71,1295.87,278.82,2642.0,170.5,1.503,1.503,249.9,0.0,0.0,0.0,5.576,5.576,1545.77,278.82,2642.0,170.5,15.5,170.5
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.765,9.878,6.178,115.337,2.417,0.939,4.229,15.6,5.722,75.239,3.706,0.914,4.229,15.6,15.6,125.319,1.0,0.914,3.837,10.6,5.0,89.59,1.399,0.902,3.123,0.0,10.6,50.0,2.506,0.832,3.706,3.706,1295.87,278.82,2997.0,193.3,1.505,1.505,423.27,38.07,-882.0,-56.9,5.576,5.576,1719.14,316.88,3878.0,250.2,15.5,136.4
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.765,9.878,6.178,115.337,2.417,0.939,4.229,15.6,5.722,75.239,3.706,0.914,4.229,15.6,15.6,126.22,1.0,0.914,3.661,8.288,7.312,78.77,1.602,0.88,3.136,0.0,8.288,50.0,2.524,0.848,3.706,3.706,1295.87,278.82,2901.0,187.2,1.505,1.505,385.26,26.52,-764.0,-49.3,5.576,5.576,1681.13,305.34,3665.0,236.4,15.5,137.89999999999998
